,title,abstract,summary,date
157,Integrated wafer-scale ultra-flat graphene by gradient surface energy modulation,"The integration of large-scale two-dimensional (2D) materials onto semiconductor wafers is highly desirable for advanced electronic devices, but challenges such as transfer-related crack, contamination, wrinkle and doping remain. Here, we developed a generic method by gradient surface energy modulation, leading to a reliable adhesion and release of graphene onto target wafers. The as-obtained wafer-scale graphene exhibited a damage-free, clean, and ultra-flat surface with negligible doping, resulting in uniform sheet resistance with only ~6% deviation. The as-transferred graphene on SiO2/Si exhibited high carrier mobility reaching up ~10,000 cm2 V−1 s−1, with quantum Hall effect (QHE) observed at room temperature. Fractional quantum Hall effect (FQHE) appeared at 1.7 K after encapsulation by h-BN, yielding ultra-high mobility of ~280,000 cm2 V−1 s−1. Integrated wafer-scale graphene thermal emitters exhibited significant broadband emission in near-infrared (NIR) spectrum. Overall, the proposed methodology is promising for future integration of wafer-scale 2D materials in advanced electronics and optoelectronics.","Defect-free integration of 2D materials onto semiconductor wafers is desired to implement heterogeneous electronic devices. Here, the authors report a method to transfer high-quality graphene on target wafers via gradient surface energy modulation, leading to improved structural and electronic properties.",2022-09-15
158,Batch effects removal for microbiome data via conditional quantile regression,"Batch effects in microbiome data arise from differential processing of specimens and can lead to spurious findings and obscure true signals. Strategies designed for genomic data to mitigate batch effects usually fail to address the zero-inflated and over-dispersed microbiome data. Most strategies tailored for microbiome data are restricted to association testing or specialized study designs, failing to allow other analytic goals or general designs. Here, we develop the Conditional Quantile Regression (ConQuR) approach to remove microbiome batch effects using a two-part quantile regression model. ConQuR is a comprehensive method that accommodates the complex distributions of microbial read counts by non-parametric modeling, and it generates batch-removed zero-inflated read counts that can be used in and benefit usual subsequent analyses. We apply ConQuR to simulated and real microbiome datasets and demonstrate its advantages in removing batch effects while preserving the signals of interest.","Here, the authors present ConQuR, a conditional quantile regression method that removes microbiome batch effects through non-parametric modeling of complex microbial read counts, while preserving the signals of interest.",2022-09-15
159,Exceptional water production yield enabled by batch-processed portable water harvester in semi-arid climate,"Sorption-based atmospheric water harvesting has the potential to realize water production anytime, anywhere, but reaching a hundred-gram high water yield in semi-arid climates is still challenging, although state-of-the-art sorbents have been used. Here, we report a portable and modularized water harvester with scalable, low-cost, and lightweight LiCl-based hygroscopic composite (Li-SHC) sorbents. Li-SHC achieves water uptake capacity of 1.18, 1.79, and 2.93 g g−1 at 15%, 30%, and 60% RH, respectively. Importantly, considering the large mismatch between water capture and release rates, a rationally designed batch processing mode is proposed to pursue maximum water yield in a single diurnal cycle. Together with the advanced thermal design, the water harvester shows an exceptional water yield of 311.69 g day−1 and 1.09 g gsorbent−1 day−1 in the semi-arid climate with the extremely low RH of ~15%, demonstrating the adaptability and possibility of achieving large-scale and reliable water production in real scenarios.","Sorption-based atmospheric water harvesting has the potential to realize flexible water production but reaching high water yield in semi-arid climate is still challenging. Here, the authors report a portable and modularized water harvester with scalable, low-cost, and lightweight hygroscopic composite sorbent which shows an exceptional water production in semi-arid climate with low relative humidity of 15%.",2022-09-15
160,Structure of the active Gi-coupled human lysophosphatidic acid receptor 1 complexed with a potent agonist,"Lysophosphatidic acid receptor 1 (LPA1) is one of the six G protein-coupled receptors activated by the bioactive lipid, lysophosphatidic acid (LPA). LPA1 is a drug target for various diseases, including cancer, inflammation, and neuropathic pain. Notably, LPA1 agonists have potential therapeutic value for obesity and urinary incontinence. Here, we report a cryo-electron microscopy structure of the active human LPA1-Gi complex bound to ONO-0740556, an LPA analog with more potent activity against LPA1. Our structure elucidated the details of the agonist binding mode and receptor activation mechanism mediated by rearrangements of transmembrane segment 7 and the central hydrophobic core. A structural comparison of LPA1 and other phylogenetically-related lipid-sensing GPCRs identified the structural determinants for lipid preference of LPA1. Moreover, we characterized the structural polymorphisms at the receptor-G-protein interface, which potentially reflect the G-protein dissociation process. Our study provides insights into the detailed mechanism of LPA1 binding to agonists and paves the way toward the design of drug-like agonists targeting LPA1.",LPA1 is one of the GPCRs that are drug targets for various diseases. Here the authors report a cryo-EM structure of the active human LPA1-Gi complex bound to an LPA analog with more potent activity against LPA1 and clarified the ligand recognition mechanism.,2022-09-15
161,Transcriptional dynamics of murine motor neuron maturation in vivo and in vitro,"Neurons born in the embryo can undergo a protracted period of maturation lasting well into postnatal life. How gene expression changes are regulated during maturation and whether they can be recapitulated in cultured neurons remains poorly understood. Here, we show that mouse motor neurons exhibit pervasive changes in gene expression and accessibility of associated regulatory regions from embryonic till juvenile age. While motifs of selector transcription factors, ISL1 and LHX3, are enriched in nascent regulatory regions, motifs of NFI factors, activity-dependent factors, and hormone receptors become more prominent in maturation-dependent enhancers. Notably, stem cell-derived motor neurons recapitulate ~40% of the maturation expression program in vitro, with neural activity playing only a modest role as a late-stage modulator. Thus, the genetic maturation program consists of a core hardwired subprogram that is correctly executed in vitro and an extrinsically-controlled subprogram that is dependent on the in vivo context of the maturing organism.","Patel et al. show that gene expression and regulation in motor neurons is dynamic until juvenile age. A core subprogram (~40% of genes) is faithfully recapitulated in cultured motor neurons, with neuronal activity playing only a modulatory role.",2022-09-15
162,Decoupled Asian monsoon intensity and precipitation during glacial-interglacial transitions on the Chinese Loess Plateau,"The discrepancies among the variations in global ice volume, cave stalagmite δ18O and rainfall reconstructed by cosmogenic 10Be tremendously restrain our understanding of the evolution of the East Asian summer monsoon (EASM). Here, we present a 430-ka EASM mean annual precipitation record on the Chinese Loess Plateau obtained using branched glycerol dialkyl glycerol tetraethers based on a deep learning neural network; this rainfall record corresponds well with cave-derived δ18O data from southern China but differs from precipitation reconstructed by 10Be. Both branched tetraether membrane lipids and cave δ18O may be affected by soil moisture and atmospheric temperature when glacial and interglacial conditions alternated and were thus decoupled from atmospheric precipitation; instead, they represent variations in the intensity of the EASM. Furthermore, we demonstrate that the brGDGT-DLNN method can significantly extend the temporal scale record of the EASM and is not restricted by geographic location compared with stalagmite records.","In considering Asian monsoon intensity and precipitation during glacial-interglacial transitions in Chinese Loess Plateau, a new study finds that brGDGT-DLNN method can significantly extend the temporal scale record of the EASM and is not restricted by geographic location compared with stalagmite records.",2022-09-14
163,Layered feedback control overcomes performance trade-off in synthetic biomolecular networks,"Layered feedback is an optimization strategy in feedback control designs widely used in engineering. Control theory suggests that layering multiple feedbacks could overcome the robustness-speed performance trade-off limit. In natural biological networks, genes are often regulated in layers to adapt to environmental perturbations. It is hypothesized layering architecture could also overcome the robustness-speed performance trade-off in genetic networks. In this work, we validate this hypothesis with a synthetic biomolecular network in living E. coli cells. We start with system dynamics analysis using models of various complexities to guide the design of a layered control architecture in living cells. Experimentally, we interrogate system dynamics under three groups of perturbations. We consistently observe that the layered control improves system performance in the robustness-speed domain. This work confirms that layered control could be adopted in synthetic biomolecular networks for performance optimization. It also provides insights into understanding genetic feedback control architectures in nature.","Layered feedback is an optimization strategy in feedback control designs widely used in engineering. Here, combining simulation and experimentation, the authors apply layered control - a powerful optimization strategy in engineering - to synthetic biomolecular networks in living bacteria to show layered control overcomes performance trade-offs in biology.",2022-09-14
164,Biochemical and structural insights of multifunctional flavin-dependent monooxygenase FlsO1-catalyzed unexpected xanthone formation,"Xanthone-containing natural products display diverse pharmacological properties. The biosynthetic mechanisms of the xanthone formation have not been well documented. Here we show that the flavoprotein monooxygenase FlsO1 in the biosynthesis of fluostatins not only functionally compensates for the monooxygenase FlsO2 in converting prejadomycin to dehydrorabelomycin, but also unexpectedly converts prejadomycin to xanthone-containing products by catalyzing three successive oxidations including hydroxylation, epoxidation and Baeyer-Villiger oxidation. We also provide biochemical evidence to support the physiological role of FlsO1 as the benzo[b]-fluorene C5-hydrolase by using nenestatin C as a substrate mimic. Finally, we resolve the crystal structure of FlsO1 in complex with the cofactor flavin adenine dinucleotide close to the “in” conformation to enable the construction of reactive substrate-docking models to understand the basis of a single enzyme-catalyzed multiple oxidations. This study highlights a mechanistic perspective for the enzymatic xanthone formation in actinomycetes and sets an example for the versatile functions of flavoproteins.","The biosynthesis of xanthones has not been well documented. Here, the authors report that monooxygenase FlsO1 catalyzes three successive oxidations – hydroxylation, epoxidation and Baeyer–Villiger oxidation—to form the xanthone scaffold in actinomycetes.",2022-09-14
165,Energy comparison of sequential and integrated CO2 capture and electrochemical conversion,"Integrating carbon dioxide (CO2) electrolysis with CO2 capture provides exciting new opportunities for energy reductions by simultaneously removing the energy-demanding regeneration step in CO2 capture and avoiding critical issues faced by CO2 gas-fed electrolysers. However, understanding the potential energy advantages of an integrated process is not straightforward due to the interconnected processes which require knowledge of both capture and electrochemical conversion processes. Here, we identify the upper limits of the integrated process from an energy perspective by comparing the working principles and performance of integrated and sequential approaches. Our high-level energy analyses unveil that an integrated electrolyser must show similar performance to the gas-fed electrolyser to ensure an energy benefit of up to 44% versus the sequential route. However, such energy benefits diminish if future gas-fed electrolysers resolve the CO2 utilisation issue and if an integrated electrolyser shows lower conversion efficiencies than the gas-fed system.","Coupling CO2 capture and electrolysis offers new opportunities to reduce energy cost. Here, the authors identify that the integrated electrolyser must show similar performance to the gas-fed electrolyser to ensure an energy benefit of up to 44% versus sequential capture and conversion processes.",2022-09-14
166,Cancer co-opts differentiation of B-cell precursors into macrophage-like cells,"We have recently reported that some cancers induce accumulation of bone marrow (BM) B-cell precursors in the spleen to convert them into metastasis-promoting, immunosuppressive B cells. Here, using various murine tumor models and samples from humans with breast and ovarian cancers, we provide evidence that cancers also co-opt differentiation of these B-cell precursors to generate macrophage-like cells (termed B-MF). We link the transdifferentiation to a small subset of CSF1R+ Pax5Low cells within BM pre-B and immature B cells responding to cancer-secreted M-CSF with downregulation of the transcription factor Pax5 via CSF1R signaling. Although the primary source of tumor-associated macrophages is monocytes, B-MFs are phenotypically and functionally distinguishable. Compared to monocyte-derived macrophages, B-MFs more efficiently phagocytize apoptotic cells, suppress proliferation of T cells and induce FoxP3+ regulatory T cells. In mouse tumor models, B-MFs promote shrinkage of the tumor-infiltrating IFNγ+ CD4 T cell pool and increase cancer progression and metastasis, suggesting that this cancer-induced transdifferentiation pathway is functionally relevant and hence could serve as an immunotherapeutic target.","The tumour microenvironment has been shown to change the phenotypes and functionality of immune cells to enable tumour propagation. Here authors show that cancers can derail B cell development to give rise to macrophage-like cells, contributing to cancer progression and metastasis via disabling local T cell response.",2022-09-14
167,Streptococcus agalactiae cadD alleviates metal stress and promotes intracellular survival in macrophages and ascending infection during pregnancy,"Perinatal infection with Streptococcus agalactiae, or Group B Streptococcus (GBS), is associated with preterm birth, neonatal sepsis, and stillbirth. Here, we study the interactions of GBS with macrophages, essential sentinel immune cells that defend the gravid reproductive tract. Transcriptional analyses of GBS-macrophage co-cultures reveal enhanced expression of a gene encoding a putative metal resistance determinant, cadD. Deletion of cadD reduces GBS survival in macrophages, metal efflux, and resistance to metal toxicity. In a mouse model of ascending infection during pregnancy, the ΔcadD strain displays attenuated bacterial burden, inflammation, and cytokine production in gestational tissues. Furthermore, depletion of host macrophages alters cytokine expression and decreases GBS invasion in a cadD-dependent fashion. Our results indicate that GBS cadD plays an important role in metal detoxification, which promotes immune evasion and bacterial proliferation in the pregnant host.","Perinatal infection with Group B Streptococcus (GBS) is associated with preterm birth, neonatal sepsis, and stillbirth. Here, Korir et al. show that gene cadD, encoding a putative metal efflux transporter, is important for metal detoxification, immune evasion and bacterial proliferation in the pregnant host.",2022-09-14
168,Structure of the membrane-bound formate hydrogenlyase complex from Escherichia coli,"The prototypical hydrogen-producing enzyme, the membrane-bound formate hydrogenlyase (FHL) complex from Escherichia coli, links formate oxidation at a molybdopterin-containing formate dehydrogenase to proton reduction at a [NiFe] hydrogenase. It is of intense interest due to its ability to efficiently produce H2 during fermentation, its reversibility, allowing H2-dependent CO2 reduction, and its evolutionary link to respiratory complex I. FHL has been studied for over a century, but its atomic structure remains unknown. Here we report cryo-EM structures of FHL in its aerobically and anaerobically isolated forms at resolutions reaching 2.6 Å. This includes well-resolved density for conserved loops linking the soluble and membrane arms believed to be essential in coupling enzymatic turnover to ion translocation across the membrane in the complex I superfamily. We evaluate possible structural determinants of the bias toward hydrogen production over its oxidation and describe an unpredicted metal-binding site near the interface of FdhF and HycF subunits that may play a role in redox-dependent regulation of FdhF interaction with the complex.",New cryo-EM structures of the formate hydrogenlyase complex from the model bacterium E. coli clarify how electrons and protons move through the complex and are combined to make H2 gas. The complex shows important similarities and differences to related bioenergetic complexes across the tree of life.,2022-09-14
169,Optogenetic control of apical constriction induces synthetic morphogenesis in mammalian tissues,"The emerging field of synthetic developmental biology proposes bottom-up approaches to examine the contribution of each cellular process to complex morphogenesis. However, the shortage of tools to manipulate three-dimensional (3D) shapes of mammalian tissues hinders the progress of the field. Here we report the development of OptoShroom3, an optogenetic tool that achieves fast spatiotemporal control of apical constriction in mammalian epithelia. Activation of OptoShroom3 through illumination in an epithelial Madin-Darby Canine Kidney (MDCK) cell sheet reduces the apical surface of the stimulated cells and causes displacements in the adjacent regions. Light-induced apical constriction provokes the folding of epithelial cell colonies on soft gels. Its application to murine and human neural organoids leads to thickening of neuroepithelia, apical lumen reduction in optic vesicles, and flattening in neuroectodermal tissues. These results show that spatiotemporal control of apical constriction can trigger several types of 3D deformation depending on the initial tissue context.","Apical constriction is a force-generating process required during embryonic development; there is a lack of tools to manipulate 3D shapes of mammalian tissues. Here the authors report the optogenetic method, OptoShroom3, to achieve fast spatiotemporal control of apical constriction in mammalian epithelia.",2022-09-14
170,Epigenetic activation of the FLT3 gene by ZNF384 fusion confers a therapeutic susceptibility in acute lymphoblastic leukemia,"FLT3 is an attractive therapeutic target in acute lymphoblastic leukemia (ALL) but the mechanism for its activation in this cancer is incompletely understood. Profiling global gene expression in large ALL cohorts, we identify over-expression of FLT3 in ZNF384-rearranged ALL, consistently across cases harboring different fusion partners with ZNF384. Mechanistically, we discover an intergenic enhancer element at the FLT3 locus that is exclusively activated in ZNF384-rearranged ALL, with the enhancer-promoter looping directly mediated by the fusion protein. There is also a global enrichment of active enhancers within ZNF384 binding sites across the genome in ZNF384-rearranged ALL cells. Downregulation of ZNF384 blunts FLT3 activation and decreases ALL cell sensitivity to FLT3 inhibitor gilteritinib in vitro. In patient-derived xenograft models of ZNF384-rearranged ALL, gilteritinib exhibits significant anti-leukemia efficacy as a monotherapy in vivo. Collectively, our results provide insights into FLT3 regulation in ALL and point to potential genomics-guided targeted therapy for this patient population.","Different molecular subtypes defined by specific gene rearrangements have been described for acute lymphoblastic leukaemia (ALL). Here, the authors show that ZNF384 fusion activates FLT3 expression conferring a therapeutic vulnerability for ZNF384- rearranged ALL subtype.",2022-09-14
171,In situ analysis of nanoparticle soft corona and dynamic evolution,"How soft corona, the protein corona’s outer layer, contributes to biological identity of nanomaterials is largely because capturing protein composition of the soft corona in situ remains challenging. We herein develop an in situ Fishing method that can monitor the dynamic formation of protein corona on ultra-small chiral Cu2S nanoparticles (NPs) allowing us to directly separate and identify the corona protein composition. Our method detects spatiotemporal processes in the evolution of hard and soft coronas on chiral NPs, revealing subtle differences in NP − protein interactions even within several minutes. This study highlights the importance of in situ and dynamic analysis of soft/hard corona, provides insights into the role of soft corona in mediating biological responses of NPs, and offers a universal strategy to characterize soft corona to guide the rational design of biomedical nanomaterials.","Characterizing the soft protein corona on nanoparticles i.e. the outer layer of the corona, remains a longstanding challenge. Here, the authors develop an in situ method to monitor the dynamic processes of multilayered corona formation and evolution that offers a universal strategy to characterize the soft corona proteome.",2022-09-14
172,Observation of Bose-Einstein condensates of excitons in a bulk semiconductor,"An unambiguous observation of the Bose-Einstein condensation (BEC) of excitons in a photoexcited bulk semiconductor and elucidation of its inherent nature have been longstanding problems in condensed matter physics. Here, we observe the quantum phase transition and a Bose-Einstein condensate appearing in a trapped gas of 1s paraexcitons in bulk Cu2O below 400 mK, by directly visualizing the exciton cloud in real space using mid-infrared induced absorption imaging that we realized in a dilution refrigerator. Our study shows that the paraexciton condensate is undetectable by conventional luminescence spectroscopy. We find an unconventionally small condensate fraction of 0.016 with the spatial profile of the condensate well described by mean-field theory. Our discovery of this new type of BEC in the purely matter-like exciton system interacting with a cold phonon bath could pave the way for the classification of its long-range order, and for essential understanding of quantum statistical mechanics of non-equilibrium open systems.","Bose-Einstein condensate of excitons is expected in photo-excited bulk semiconductors, but a direct experimental evidence has been lacking. Here the authors report the observation of a condensate of 1s paraexcitons in Cu2O using real-space mid-infrared absorption imaging realized in a dilution refrigerator.",2022-09-14
173,A blind benchmark of analysis tools to infer kinetic rate constants from single-molecule FRET trajectories,"Single-molecule FRET (smFRET) is a versatile technique to study the dynamics and function of biomolecules since it makes nanoscale movements detectable as fluorescence signals. The powerful ability to infer quantitative kinetic information from smFRET data is, however, complicated by experimental limitations. Diverse analysis tools have been developed to overcome these hurdles but a systematic comparison is lacking. Here, we report the results of a blind benchmark study assessing eleven analysis tools used to infer kinetic rate constants from smFRET trajectories. We test them against simulated and experimental data containing the most prominent difficulties encountered in analyzing smFRET experiments: different noise levels, varied model complexity, non-equilibrium dynamics, and kinetic heterogeneity. Our results highlight the current strengths and limitations in inferring kinetic information from smFRET trajectories. In addition, we formulate concrete recommendations and identify key targets for future developments, aimed to advance our understanding of biomolecular dynamics through quantitative experiment-derived models.","The ability to infer quantitative kinetic information from single-molecule FRET (smFRET) data can be challenging. Here the authors perform a blind benchmark study assessing different analysis tools used to infer kinetic rate constants from smFRET trajectories, testing on simulated and experimental data.",2022-09-14
174,Assembly of transmembrane pores from mirror-image peptides,"Tailored transmembrane alpha-helical pores with desired structural and functional versatility have promising applications in nanobiotechnology. Herein, we present a transmembrane pore DpPorA, based on the natural pore PorACj, built from D-amino acid α-helical peptides. Using single-channel current recordings, we show that DpPorA peptides self-assemble into uniform cation-selective pores in lipid membranes and exhibit properties distinct from their L-amino acid counterparts. DpPorA shows resistance to protease and acts as a functional nanopore sensor to detect cyclic sugars, polypeptides, and polymers. Fluorescence imaging reveals that DpPorA forms well-defined pores in giant unilamellar vesicles facilitating the transport of hydrophilic molecules. A second D-amino acid peptide based on the polysaccharide transporter Wza forms transient pores confirming sequence specificity in stable, functional pore formation. Finally, molecular dynamics simulations reveal the specific alpha-helical packing and surface charge conformation of the D-pores consistent with experimental observations. Our findings will aid the design of sophisticated pores for single-molecule sensing related technologies.","Alpha-helix nanopores have a range of potential applications and the inclusion of non-natural amino acids allows for modification. Here, the authors report on the creation of alpha-helix pores using D-amino acids and show the pores formed, have different properties to the L-counterparts and were resistant to proteases.",2022-09-14
175,Multiple parameters shape the 3D chromatin structure of single nuclei at the doc locus in Drosophila,"The spatial organization of chromatin at the scale of topologically associating domains (TADs) and below displays large cell-to-cell variations. Up until now, how this heterogeneity in chromatin conformation is shaped by chromatin condensation, TAD insulation, and transcription has remained mostly elusive. Here, we used Hi-M, a multiplexed DNA-FISH imaging technique providing developmental timing and transcriptional status, to show that the emergence of TADs at the ensemble level partially segregates the conformational space explored by single nuclei during the early development of Drosophila embryos. Surprisingly, a substantial fraction of nuclei display strong insulation even before TADs emerge. Moreover, active transcription within a TAD leads to minor changes to the local inter- and intra-TAD chromatin conformation in single nuclei and only weakly affects insulation to the neighboring TAD. Overall, our results indicate that multiple parameters contribute to shaping the chromatin architecture of single nuclei at the TAD scale.",Here the authors applied their recently developed multiplexed DNA-FISH Hi-M method to dissect the sources of heterogeneity in topologically associating domain (TAD)-like organization during Drosophila embryogenesis. This single-nucleus analysis allows them to reveal that multiple parameters contribute to shaping the trace of the chromatin path from a single nucleus.,2022-09-14
176,Reversible hydrogen spillover in Ru-WO3-x enhances hydrogen evolution activity in neutral pH water splitting,"Noble metal electrocatalysts (e.g., Pt, Ru, etc.) suffer from sluggish kinetics of water dissociation for the electrochemical reduction of water to molecular hydrogen in alkaline and neutral pH environments. Herein, we found that an integration of Ru nanoparticles (NPs) on oxygen-deficient WO3-x manifested a 24.0-fold increase in hydrogen evolution reaction (HER) activity compared with commercial Ru/C electrocatalyst in neutral electrolyte. Oxygen-deficient WO3-x is shown to possess large capacity for storing protons, which could be transferred to the Ru NPs under cathodic potential. This significantly increases the hydrogen coverage on the surface of Ru NPs in HER and thus changes the rate-determining step of HER on Ru from water dissociation to hydrogen recombination.","While water splitting electrolysis offers an appealing means to produce H2 fuel, catalysts show sluggish reaction rate in neutral media. Here, authors utilize hydrogen spillover from oxygen-deficient tungsten oxides to Ru nanoparticles to boost the neutral-pH H2 evolution performances.",2022-09-14
177,Effects of biological sex mismatch on neural progenitor cell transplantation for spinal cord injury in mice,"Despite advancement of neural progenitor cell transplantation to spinal cord injury clinical trials, there remains a lack of understanding of how biological sex of transplanted cells influences outcomes after transplantation. To address this, we transplanted GFP-expressing sex-matched, sex-mismatched, or mixed donor cells into sites of spinal cord injury in adult male and female mice. Biological sex of the donor cells does not influence graft neuron density, glial differentiation, formation of the reactive glial cell border, or graft axon outgrowth. However, male grafts in female hosts feature extensive hypervascularization accompanied by increased vascular diameter and perivascular cell density. We show greater T-cell infiltration within male-to-female grafts than other graft types. Together, these findings indicate a biological sex-specific immune response of female mice to male donor cells. Our work suggests that biological sex should be considered in the design of future clinical trials for cell transplantation in human injury.","In this study, Pitonak et al. report that transplantation of neural progenitor cells derived from male donors trigger an immune rejection response following transplantation into sites of spinal cord injury in female mice.",2022-09-14
178,Structure of an MHC I–tapasin–ERp57 editing complex defines chaperone promiscuity,"Adaptive immunity depends on cell surface presentation of antigenic peptides by major histocompatibility complex class I (MHC I) molecules and on stringent ER quality control in the secretory pathway. The chaperone tapasin in conjunction with the oxidoreductase ERp57 is crucial for MHC I assembly and for shaping the epitope repertoire for high immunogenicity. However, how the tapasin–ERp57 complex engages MHC I clients has not yet been determined at atomic detail. Here, we present the 2.7-Å crystal structure of a tapasin–ERp57 heterodimer in complex with peptide-receptive MHC I. Our study unveils molecular details of client recognition by the multichaperone complex and highlights elements indispensable for peptide proofreading. The structure of this transient ER quality control complex provides the mechanistic basis for the selector function of tapasin and showcases how the numerous MHC I allomorphs are chaperoned during peptide loading and editing.","Adaptive immunity depends on cellular chaperone and quality control systems that are decisive for an effective presentation of foreign antigens via MHC I molecules. Here, the authors present the structure of a key chaperone-MHC I complex.",2022-09-14
179,The clinical drug candidate anle138b binds in a cavity of lipidic α-synuclein fibrils,"Aggregation of amyloidogenic proteins is a characteristic of multiple neurodegenerative diseases. Atomic resolution of small molecule binding to such pathological protein aggregates is of interest for the development of therapeutics and diagnostics. Here we investigate the interaction between α-synuclein fibrils and anle138b, a clinical drug candidate for disease modifying therapy in neurodegeneration and a promising scaffold for positron emission tomography tracer design. We used nuclear magnetic resonance spectroscopy and the cryogenic electron microscopy structure of α-synuclein fibrils grown in the presence of lipids to locate anle138b within a cavity formed between two β-strands. We explored and quantified multiple binding modes of the compound in detail using molecular dynamics simulations. Our results reveal stable polar interactions between anle138b and backbone moieties inside the tubular cavity of the fibrils. Such cavities are common in other fibril structures as well.","Understanding how small molecules bind to pathological aggregates is of importance for therapeutic and diagnostic development in diseases such as Parkinson’s Disease. Here, the authors reveal a binding site of anle138b to lipid-induced α-synuclein fibrils.",2022-09-14
180,Mesoscopic sliding ferroelectricity enabled photovoltaic random access memory for material-level artificial vision system,"Intelligent materials with adaptive response to external stimulation lay foundation to integrate functional systems at the material level. Here, with experimental observation and numerical simulation, we report a delicate nano-electro-mechanical-opto-system naturally embedded in individual multiwall tungsten disulfide nanotubes, which generates a distinct form of in-plane van der Waals sliding ferroelectricity from the unique combination of superlubricity and piezoelectricity. The sliding ferroelectricity enables programmable photovoltaic effect using the multiwall tungsten disulfide nanotube as photovoltaic random-access memory. A complete “four-in-one” artificial vision system that synchronously achieves full functions of detecting, processing, memorizing, and powering is integrated into the nanotube devices. Both labeled supervised learning and unlabeled reinforcement learning algorithms are executable in the artificial vision system to achieve self-driven image recognition. This work provides a distinct strategy to create ferroelectricity in van der Waals materials, and demonstrates how intelligent materials can push electronic system integration at the material level.","Intelligent materials change their properties under external stimuli, integrating functionalities at the matter level. Here, Guo et al. report an artificial vision system based on the memory effect produced by sliding ferroelectricity in multiwalled tungsten disulfide nanotubes.",2022-09-14
181,Understanding Braess’ Paradox in power grids,"The ongoing energy transition requires power grid extensions to connect renewable generators to consumers and to transfer power among distant areas. The process of grid extension requires a large investment of resources and is supposed to make grid operation more robust. Yet, counter-intuitively, increasing the capacity of existing lines or adding new lines may also reduce the overall system performance and even promote blackouts due to Braess’ paradox. Braess’ paradox was theoretically modeled but not yet proven in realistically scaled power grids. Here, we present an experimental setup demonstrating Braess’ paradox in an AC power grid and show how it constrains ongoing large-scale grid extension projects. We present a topological theory that reveals the key mechanism and predicts Braessian grid extensions from the network structure. These results offer a theoretical method to understand and practical guidelines in support of preventing unsuitable infrastructures and the systemic planning of grid extensions.","Increasing the capacity of existing lines or adding new lines in power grids may, counterintuitively, reduce the system performance and promote blackouts. The authors propose an approach for prediction of edges that lower system performance and defining potential constrains for grid extensions.",2022-09-14
182,Mettl3-dependent m6A modification attenuates the brain stress response in Drosophila,"N6-methyladenosine (m6A), the most prevalent internal modification on eukaryotic mRNA, plays an essential role in various stress responses. The brain is uniquely vulnerable to cellular stress, thus defining how m6A sculpts the brain’s susceptibility may provide insight to brain aging and disease-related stress. Here we investigate the impact of m6A mRNA methylation in the adult Drosophila brain with stress. We show that m6A is enriched in the adult brain and increases with heat stress. Through m6A-immunoprecipitation sequencing, we show 5′UTR Mettl3-dependent m6A is enriched in transcripts of neuronal processes and signaling pathways that increase upon stress. Mettl3 knockdown results in increased levels of m6A targets and confers resilience to stress. We find loss of Mettl3 results in decreased levels of nuclear m6A reader Ythdc1, and knockdown of Ythdc1 also leads to stress resilience. Overall, our data suggest that m6A modification in Drosophila dampens the brain’s biological response to stress.","The brain is vulnerable to stress and disease, with much work focused on defining mechanisms that impact the brain’s resilience. Here the author’s reveal in Drosophila that m6A epitranscriptomic modification of RNA dampens the brain’s capacity to mitigate stress by regulating RNA stability and translation.",2022-09-14
183,Telomere-to-telomere genome sequence of the model mould pathogen Aspergillus fumigatus,"The pathogenic fungus Aspergillus fumigatus is a major etiological agent of fungal invasive and chronic diseases affecting tens of millions of individuals worldwide. Draft genome sequences of two clinical isolates (Af293 and A1163) are commonly used as reference genomes for analyses of clinical and environmental strains. However, the reference sequences lack coverage of centromeres, an accurate sequence for ribosomal repeats, and a comprehensive annotation of chromosomal rearrangements such as translocations and inversions. Here, we used PacBio Single Molecule Real-Time (SMRT), Oxford Nanopore and Illumina HiSeq sequencing for de novo genome assembly and polishing of two laboratory reference strains of A. fumigatus, CEA10 (parental isolate of A1163) and its descendant A1160. We generated full length chromosome assemblies and a comprehensive telomere-to-telomere coverage for CEA10 and near complete assembly of A1160 including ribosomal repeats and the sequences of centromeres, which we discovered to be composed of long transposon elements. We envision these high-quality reference genomes will become fundamental resources to study A. fumigatus biology, pathogenicity and virulence, and to discover more effective treatments against diseases caused by this fungus.","The fungus Aspergillus fumigatus causes invasive and chronic diseases worldwide. Here, Bowyer et al. use long-read and short-read sequencing to generate complete chromosome assemblies and telomere-to-telomere coverage for two isolates, thus providing high-quality reference genomes as fundamental resources to study this pathogen.",2022-09-14
